Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Jadon Sancho,eng ENG,FW,Chelsea,eng Premier League,24-309,2000,9,0.76,0,4,4,65,34,4,0,15,2,0,,,,,,,,,,,,,,,,,,
Jaime Mata,es ESP,FW,Las Palmas,es La Liga,36-096,1988,1,0.22,12,20,2,5,3,3,0,9,0,1,,,,,,,,,,,,,,,,,,
Jamie Vardy,eng ENG,FW,Leicester City,eng Premier League,38-017,1987,9,0.47,34,30,10,16,7,14,0,39,7,0,,,,,,,,,,,,,,,,,,
Javier Llabrés,es ESP,FW,Mallorca,es La Liga,22-139,2002,0,0,1,0,0.1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27-214,1997,6,0.3,47,76,8.3,29,9,15,0,43,8,0,,,,,,,,,,,,,,,,,,
Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,26-282,1998,0,0,3,2,0.2,1,0,1,0,2,0,1,,,,,,,,,,,,,,,,,,
Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26-187,1998,1,0.3,2,4,0.8,6,2,2,1,6,1,2,,,,,,,,,,,,,,,,,,
Jesper Lindstrøm,dk DEN,FW,Everton,eng Premier League,24-334,2000,0,0,4,10,3.4,31,7,8,6,25,0,0,,,,,,,,,,,,,,,,,,
Jesus Rodríguez,es ESP,FW,Betis,es La Liga,19-068,2005,0,0,3,4,0.2,27,10,3,0,3,1,5,,,,,,,,,,,,,,,,,,
Jhon Durán,co COL,FW,Aston Villa,eng Premier League,21-046,2003,1,0.14,19,19,5.1,14,3,15,0,31,7,3,,,,,,,,,,,,,,,,,,
Jibril Othman,tn TUN,FW,Saint-Étienne,fr Ligue 1,20-277,2004,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29-336,1995,6,0.54,8,14,4.2,27,4,4,0,23,0,0,,,,,,,,,,,,,,,,,,
Joel Pohjanpalo,fi FIN,FW,Venezia,it Serie A,30-137,1994,3,0.17,46,59,6,10,3,13,0,34,6,0,,,,,,,,,,,,,,,,,,
Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-265,1998,4,0.26,20,68,4.6,13,6,9,0,30,3,0,,,,,,,,,,,,,,,,,,
Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24-201,2000,4,0.32,11,41,9.1,14,6,15,0,33,12,1,,,,,,,,,,,,,,,,,,
Jonathan David,ca CAN,FW,Lille,fr Ligue 1,25-014,2000,3,0.19,10,28,7.1,22,11,16,0,31,11,0,,,,,,,,,,,,,,,,,,
Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,28-277,1996,0,0,42,34,3.7,13,7,7,0,22,0,0,,,,,,,,,,,,,,,,,,
Jørgen Strand Larsen,no NOR,FW,Wolves,eng Premier League,24-357,2000,3,0.15,47,67,7.9,10,4,23,0,35,7,0,,,,,,,,,,,,,,,,,,
Juanmi Latasa,es ESP,FW,Valladolid,es La Liga,23-311,2001,0,0,42,28,1.3,6,3,1,0,13,0,0,,,,,,,,,,,,,,,,,,
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-236,2001,3,0.29,28,71,5.4,15,8,8,0,22,2,0,,,,,,,,,,,,,,,,,,
Junya Ito,jp JPN,FW,Reims,fr Ligue 1,31-325,1993,8,0.43,13,13,8.1,68,36,8,0,18,4,1,,,,,,,,,,,,,,,,,,
